model,board,final_group_id,candidate_nets,spearman,top5_cost_capture,top5_overlap,ndcg5
MST-only,kitspace_training_board_v02,FG0516,61,0.9798123410242601,0.9896676089932117,0.8,0.9893234259384048
MST-only,kitspace_tri_panel_4up_r0.1,FG0560,89,0.8298774259448418,1.0,1.0,0.9998835885049702
MST-only,kitspace_ulx4m,FG0589,296,0.9614459679391832,0.9779793651159447,0.8,0.9889890482037432
MST-only,m2-electronics_m2pa,FG0599,9,1.0,1.0,1.0,1.0
MST-only,m2-electronics_m2pa-instrument,FG0599,9,1.0,1.0,1.0,1.0
MST-only,m2-electronics_m2pa-m3mount,FG0599,9,0.9500000000000001,0.9970491819475913,0.8,0.9987300755184475
MST-only,m2-electronics_m2pa-tiny,FG0599,9,1.0,1.0,1.0,1.0000000000000002
MST-only,m2-electronics_m2r,FG0599,58,0.9815937701991444,1.0,1.0,0.9999999999999998
MST-only,m2-electronics_m2rl,FG0599,15,0.89568345323741,0.9344374540887419,0.6,0.9574298008509019
MST-only,mechkeys_1800-controller,FG0609,36,0.9940797940797942,0.9980884618428338,0.8,0.9990966151331312
MST-only,mechkeys_58r-mxalps,FG0609,90,0.9353545744314884,0.9999999999999999,1.0,0.9981255656391348
MST-only,mechkeys_BluePad,FG0609,63,0.9904823630377696,0.947740966124906,0.8,0.9562279531089033
MST-only,mechkeys_LFK78,FG0609,159,0.9877039570856275,0.9610957848613506,0.6,0.9700601613908441
MST-only,mechkeys_MF68+10,FG0609,119,0.9599362517169148,0.9616377369923246,0.6,0.9663498539108735
MST-only,mechkeys_isp,FG0609,11,0.9977246841962695,1.0,1.0,0.9997856492574908
MST-only,mechkeys_lfk78-jtag,FG0609,10,-0.28484848484848485,0.7526753708644868,0.4,0.7000555194102435
MST-only,mechkeys_lfk_revc,FG0609,172,0.9562202380667335,0.9048640472042834,0.4,0.929317149283039
MST-only,mechkeys_lfk_revd,FG0609,174,0.9632867455639177,0.9146282647437753,0.4,0.9377442986878561
MST-only,medusa_medusa_cape,FG0610,113,0.9704466582267349,1.0,1.0,0.9974069643521364
MST-only,medusa_medusa_rs422_rx,FG0610,33,0.9692206920458768,0.9932726595987723,0.8,0.9954290725064662
MST-only,medusa_medusa_rs422_tx,FG0610,120,0.8690201694316324,0.9913575405585219,0.6,0.9954168855375503
MST-only,memory-display_memory-display,FG0611,29,0.9931034482758619,1.0,1.0,0.9999999999999998
MST-only,mini-whip_mini-whip,FG0615,9,0.8666666666666667,0.9555442603659163,0.8,0.9643613302762281
MST-only,mini-whip_mini-whip-power-feed,FG0615,6,0.942857142857143,1.0,1.0,0.9997195482618215
